time,latitude,longitude,depth,mag,,
2020-05-04T03:03:10.780Z,31.0795,141.8965,10,5.2,,
2020-05-04T02:26:58.147Z,-20.5177,-69.2663,91.64,4.6,,
2020-05-03T22:07:06.554Z,-11.1457,-12.7914,10,4.6,,
2020-05-03T21:13:37.155Z,-31.3783,-178.0545,35,4.6,,
2020-05-03T19:36:55.497Z,2.8247,36.0596,10,4.9,,
2020-05-03T19:04:17.034Z,-17.6869,-178.8232,545.85,4.6,,
2020-05-03T17:31:28.312Z,13.6979,144.6878,117.11,4.9,,
2020-05-03T16:39:14.141Z,-7.0446,129.1847,169.35,4.5,,
2020-05-03T16:26:16.576Z,-55.6879,-26.1968,10,4.9,,
2020-05-03T16:21:29.850Z,-25.3684,-175.4614,10,4.8,,
2020-05-03T16:01:27.238Z,-25.2077,-175.9965,35,4.6,,
2020-05-03T15:25:10.693Z,-21.5198,-173.9595,10,5.1,,
2020-05-03T14:42:11.986Z,39.3047,71.5304,10,4.5,,
2020-05-03T14:10:34.615Z,5.8843,-82.6764,10,4.5,,
2020-05-03T13:35:28.708Z,-22.3381,-113.5658,10,5.1,,
2020-05-03T12:01:13.632Z,31.0473,128.9596,10,5,,
2020-05-03T11:54:24.821Z,31.4218,128.8199,10,5.9,,
2020-05-03T07:06:46.959Z,-6.2728,104.6616,65.83,5,,
2020-05-03T05:54:42.003Z,34.0817,25.9133,10,4.9,,
2020-05-03T05:17:49.572Z,44.1234,148.3786,26.26,4.5,,
2020-05-03T03:24:40.964Z,23.2278,121.5752,40.98,5.1,,
2020-05-03T03:05:11.955Z,-28.6849,-178.0684,139.78,4.9,,
2020-05-03T01:13:21.765Z,-0.4856,127.7974,10,4.5,,
2020-05-03T00:44:27.738Z,-15.2907,-70.4705,198.44,5.7,,
2020-05-02T16:44:24.880Z,33.9038,25.515,10,5.3,,
2020-05-02T16:13:00.632Z,34.1928,25.5914,10,4.8,,
2020-05-02T14:21:26.443Z,34.0859,25.4783,10,4.7,,
2020-05-02T13:45:18.658Z,33.9096,25.4614,10,4.7,,
2020-05-02T13:33:50.918Z,34.1693,25.4776,17.18,5.4,,
2020-05-02T12:51:06.662Z,34.2045,25.7124,16.99,6.6,,
2020-05-02T11:19:28.830Z,17.9508,-66.6981,7,4.6,,
2020-05-02T11:13:18.680Z,17.937,-66.7266,9,5.4,,
2020-05-02T07:40:26.289Z,55.7132,-161.9335,152.26,4.5,,
2020-05-02T03:56:57.908Z,-35.2346,54.1285,10,4.6,,
2020-05-01T20:28:09.056Z,28.4003,56.8895,10,4.9,,
2020-05-01T20:20:25.114Z,-23.9174,179.8585,525.34,4.5,,
2020-05-01T19:53:04.996Z,-21.51,-179.3378,620.93,4.5,,
2020-05-01T13:48:39.631Z,4.6198,127.0656,90.37,4.8,,
2020-05-01T11:01:39.507Z,42.2348,24.893,10,4.5,,
2020-05-01T07:04:52.024Z,54.521,161.6135,59.13,5.3,,
2020-05-01T05:46:29.823Z,-4.5498,153.2859,63.98,4.9,,
2020-05-01T04:55:26.686Z,-17.4925,-177.3425,388.13,4.9,,
2020-05-01T04:02:16.161Z,-4.598,153.3607,59.23,4.8,,
2020-05-01T03:46:00.529Z,-23.1308,-177.0099,118.94,4.6,,
2020-05-01T02:03:44.049Z,-30.411,-177.7946,10,4.9,,
2020-05-01T01:10:37.926Z,-20.0748,169.6909,91.33,4.5,,
